Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Postal Code
CA-2016-110898,6/3/16,12/3/16,Standard Class,LC-16870,60623
CA-2016-126004,4/12/16,5/12/16,First Class,BM-11140,10024
US-2017-139955,28/9/17,30/9/17,Second Class,CM-12160,78521
CA-2017-130904,11/4/17,16/4/17,Standard Class,HM-14980,27217
US-2015-168732,10/12/15,16/12/15,Standard Class,KM-16660,30076
CA-2016-158568,29/8/16,2/9/16,Standard Class,RB-19465,60610
CA-2017-125878,25/2/17,2/3/17,Standard Class,MH-18025,60623
CA-2014-120775,3/10/14,7/10/14,Standard Class,RD-19930,75217
CA-2016-108364,19/12/16,24/12/16,Standard Class,BP-11050,60623
CA-2016-116540,2/9/16,2/9/16,Same Day,SS-20590,53711
CA-2017-166933,24/4/17,28/4/17,Standard Class,MG-17890,93101
CA-2017-121678,16/11/17,20/11/17,Second Class,BM-11650,44035
CA-2014-101770,31/3/14,4/4/14,Standard Class,KB-16240,33180
CA-2016-114727,18/7/16,24/7/16,Standard Class,LS-16945,80219
CA-2015-162761,9/10/15,13/10/15,Standard Class,SC-20575,33178
CA-2017-155642,18/5/17,22/5/17,Standard Class,BM-11575,60653
CA-2016-150007,11/9/16,16/9/16,Standard Class,AS-10090,60653
CA-2017-169817,21/9/17,25/9/17,Standard Class,EB-13870,19143
CA-2015-126557,12/7/15,17/7/15,Second Class,RL-19615,60610
CA-2015-149636,6/1/15,12/1/15,Standard Class,SP-20620,80906
CA-2016-146521,21/7/16,23/7/16,Second Class,CC-12610,19134
US-2014-159926,18/11/14,22/11/14,Standard Class,CS-11950,19140
CA-2016-108644,30/9/16,3/10/16,First Class,SJ-20215,62301
CA-2016-114209,21/5/16,26/5/16,Standard Class,AS-10285,75081
US-2016-117793,23/8/16,29/8/16,Standard Class,MA-17560,53081
CA-2014-166590,29/10/14,2/11/14,Standard Class,NC-18625,47201
CA-2014-153913,16/12/14,20/12/14,Second Class,KB-16585,33012
CA-2017-160045,26/4/17,27/4/17,First Class,LB-16735,76106
CA-2017-112536,18/5/17,23/5/17,Standard Class,SG-20890,78501
US-2015-160150,19/7/15,20/7/15,First Class,TS-21085,85023
CA-2017-122595,14/12/17,20/12/17,Standard Class,GM-14455,60653
US-2017-127292,19/1/17,23/1/17,Standard Class,RM-19375,5408
US-2016-155173,6/3/16,10/3/16,Standard Class,JB-16045,19120
US-2017-153633,13/11/17,18/11/17,Second Class,TC-21295,33458
CA-2016-113551,18/8/16,20/8/16,First Class,NF-18385,78539
CA-2017-106432,19/10/17,24/10/17,Standard Class,CA-12265,76706
US-2015-161991,26/9/15,28/9/15,Second Class,SC-20725,77070
US-2016-132577,22/11/16,27/11/16,Standard Class,JE-15475,77095
CA-2017-145093,21/7/17,26/7/17,Standard Class,PT-19090,60623
CA-2016-163398,3/5/16,8/5/16,Standard Class,CB-12415,60653
CA-2015-163055,9/8/15,16/8/15,Standard Class,DS-13180,48227
CA-2017-133067,4/5/17,10/5/17,Standard Class,MY-18295,19140
CA-2015-155586,12/12/15,16/12/15,Second Class,XP-21865,95928
US-2016-131891,29/7/16,31/7/16,First Class,PW-19240,32503
CA-2016-113600,15/12/16,17/12/16,Second Class,SH-20395,44221
CA-2017-125451,23/10/17,24/10/17,First Class,AH-10075,2920
CA-2017-156391,26/9/17,28/9/17,First Class,SL-20155,97301
CA-2014-104738,30/12/14,1/1/15,Second Class,SP-20620,78041
US-2015-147662,14/2/15,19/2/15,Standard Class,KB-16315,44312
CA-2016-134691,14/11/16,18/11/16,Standard Class,KC-16540,77041
CA-2017-101728,19/8/17,23/8/17,Standard Class,SC-20575,60653
CA-2017-131618,17/6/17,20/6/17,First Class,LS-17200,60076
US-2015-128090,16/8/15,22/8/15,Standard Class,JM-15865,85023
CA-2016-103982,3/3/16,8/3/16,Standard Class,AA-10315,78664
US-2016-156097,19/9/16,19/9/16,Same Day,EH-14125,60505
CA-2017-168900,4/5/17,9/5/17,Standard Class,SH-20395,45503
CA-2016-132829,23/12/16,26/12/16,Second Class,LA-16780,77041
CA-2014-100363,8/4/14,15/4/14,Standard Class,JM-15655,85301
CA-2017-102267,30/11/17,4/12/17,Standard Class,SC-20800,78539
US-2016-105578,30/5/16,4/6/16,Standard Class,MY-17380,80134
CA-2017-108322,30/4/17,5/5/17,Standard Class,SS-20140,33068
CA-2015-164007,8/6/15,12/6/15,Standard Class,MG-17695,60610
US-2017-107272,5/11/17,12/11/17,Standard Class,TS-21610,85023
CA-2014-101147,2/12/14,4/12/14,First Class,MC-17575,60623
US-2015-161347,13/9/15,19/9/15,Standard Class,HG-14845,19120
US-2017-119816,4/3/17,6/3/17,Second Class,TT-21460,77095
CA-2015-120845,25/9/15,2/10/15,Standard Class,ML-17395,37130
CA-2015-126466,9/11/15,13/11/15,Standard Class,JO-15550,95661
CA-2017-135111,28/12/17,2/1/18,Standard Class,CS-12400,58103
US-2016-158680,1/7/16,2/7/16,First Class,NZ-18565,98115
US-2014-112564,23/4/14,24/4/14,First Class,TS-21160,19134
CA-2015-142237,11/7/15,13/7/15,First Class,CK-12595,19134
CA-2014-126277,13/9/14,18/9/14,Second Class,LH-16900,43229
CA-2017-127306,14/1/17,18/1/17,Standard Class,BH-11710,37604
CA-2015-127607,20/3/15,26/3/15,Standard Class,JK-15730,75007
CA-2014-127446,25/11/14,30/11/14,Standard Class,MC-17590,76017
CA-2017-113278,14/1/17,20/1/17,Standard Class,HR-14770,47374
US-2015-118983,22/11/15,26/11/15,Standard Class,HP-14815,76106
CA-2015-109001,5/3/15,9/3/15,Standard Class,KN-16390,19120
CA-2014-133690,3/8/14,5/8/14,First Class,BS-11755,80219
CA-2015-130736,7/12/15,9/12/15,First Class,JF-15490,98105
CA-2015-121650,10/12/15,16/12/15,Standard Class,KD-16495,49201
CA-2016-111605,27/12/16,2/1/17,Standard Class,JW-15955,40214
CA-2014-115973,24/11/14,26/11/14,First Class,NG-18430,45231
CA-2017-148012,9/12/17,15/12/17,Standard Class,KM-16225,19143
US-2014-123519,14/12/14,21/12/14,Standard Class,SS-20875,43302
CA-2015-122266,26/4/15,30/4/15,Standard Class,SA-20830,32114
CA-2016-109820,20/11/16,22/11/16,First Class,AG-10390,45231
CA-2016-159940,7/7/16,11/7/16,Second Class,BF-11020,60505
CA-2017-152205,28/9/17,5/10/17,Standard Class,SF-20965,19134
CA-2016-157511,18/9/16,20/9/16,First Class,SV-20365,43229
US-2014-159618,12/11/14,16/11/14,Standard Class,DB-12970,77036
US-2017-119438,18/3/17,23/3/17,Standard Class,CD-11980,75701
US-2014-121566,30/6/14,6/7/14,Standard Class,CS-11860,10011
US-2017-116652,15/9/17,19/9/17,Standard Class,RD-19480,94122
CA-2014-100678,18/4/14,22/4/14,Standard Class,KM-16720,77095
US-2017-145863,21/4/17,27/4/17,Standard Class,RP-19390,77041
CA-2016-108567,20/5/16,24/5/16,Standard Class,DB-13210,34952
CA-2015-119291,14/5/15,17/5/15,First Class,JO-15550,19013
CA-2015-146563,24/8/15,28/8/15,Standard Class,CB-12025,76017
US-2014-112914,25/9/14,30/9/14,Standard Class,MT-18070,77041
US-2015-126753,16/8/15,20/8/15,Standard Class,SP-20860,19134
CA-2015-145352,16/3/15,22/3/15,Standard Class,CM-12385,30318
CA-2016-164784,1/5/16,4/5/16,First Class,HF-14995,38109
US-2015-149692,6/12/15,12/12/15,Standard Class,KW-16435,78745
CA-2015-132570,31/10/15,2/11/15,Second Class,KT-16480,14215
CA-2017-107293,5/9/17,6/9/17,First Class,CS-12400,98115
CA-2017-159954,10/9/17,14/9/17,Standard Class,SS-20410,30318
CA-2017-130106,22/5/17,26/5/17,Standard Class,VF-21715,94109
CA-2017-129021,23/8/17,26/8/17,Second Class,PO-18850,32303
CA-2015-126970,20/9/15,24/9/15,Standard Class,TP-21130,60540
US-2017-168690,7/1/17,13/1/17,Standard Class,TS-21085,32174
CA-2016-139689,29/12/16,3/1/17,Standard Class,MP-17965,37620
CA-2014-151953,20/9/14,25/9/14,Standard Class,DB-13555,32216
CA-2015-102260,22/9/15,26/9/15,Standard Class,SJ-20125,37064
CA-2014-100916,21/10/14,26/10/14,Standard Class,FH-14275,23602
CA-2014-107398,25/8/14,30/8/14,Standard Class,BS-11590,43229
CA-2017-103478,21/7/17,24/7/17,Second Class,KL-16555,60505
US-2015-122784,20/7/15,27/7/15,Standard Class,RA-19915,60035
CA-2017-126074,2/10/17,6/10/17,Standard Class,RF-19735,48183
CA-2017-146535,24/11/17,30/11/17,Standard Class,FM-14290,40475
CA-2017-159107,24/6/17,26/6/17,Second Class,KT-16480,94110
CA-2014-114125,9/7/14,13/7/14,Standard Class,GH-14410,90049
CA-2016-101329,22/4/16,29/4/16,Standard Class,MM-17920,13440
US-2016-117037,17/5/16,20/5/16,First Class,LW-17215,60653
CA-2014-149020,10/1/14,15/1/14,Standard Class,AJ-10780,22153
CA-2014-163468,18/11/14,21/11/14,First Class,JK-15730,60016
CA-2015-140718,2/7/15,4/7/15,First Class,FA-14230,27604
US-2017-156356,16/4/17,22/4/17,Standard Class,ND-18370,77095
CA-2014-148950,14/12/14,19/12/14,Standard Class,JD-16015,60610
CA-2017-130771,29/7/17,3/8/17,Standard Class,LA-16780,78745
US-2017-162208,27/8/17,30/8/17,First Class,SP-20620,33614
CA-2016-163202,27/9/16,2/10/16,Standard Class,BM-11650,43130
CA-2017-154214,20/3/17,25/3/17,Second Class,TB-21595,47201
CA-2017-109778,16/7/17,21/7/17,Standard Class,VM-21685,60098
CA-2016-143476,11/9/16,13/9/16,First Class,LC-16930,85023
CA-2014-105165,7/9/14,10/9/14,First Class,SZ-20035,77036
CA-2014-154186,13/12/14,15/12/14,Second Class,RA-19285,77070
CA-2015-137064,6/2/15,13/2/15,Standard Class,TS-21655,77070
US-2014-134187,4/11/14,11/11/14,Standard Class,TH-21235,90805
CA-2017-167871,18/11/17,23/11/17,Standard Class,AF-10870,33030
US-2014-151015,14/10/14,20/10/14,Standard Class,BD-11500,60653
US-2017-124303,6/7/17,13/7/17,Standard Class,FH-14365,19120
US-2016-161844,9/12/16,14/12/16,Second Class,DK-12835,37064
CA-2015-168459,22/11/15,27/11/15,Standard Class,MC-17275,38109
CA-2015-160787,25/9/15,25/9/15,Same Day,BM-11785,19143
CA-2014-156244,12/8/14,16/8/14,Standard Class,DH-13675,33180
US-2016-150567,17/5/16,21/5/16,Standard Class,RP-19855,32712
US-2017-132444,18/11/17,21/11/17,First Class,CD-12280,98105
CA-2015-122756,3/12/15,7/12/15,Standard Class,DK-13225,19140
CA-2014-115980,15/7/14,19/7/14,Standard Class,VW-21775,57103
CA-2017-120404,20/11/17,24/11/17,Second Class,KH-16330,10035
CA-2017-127705,2/6/17,6/6/17,Standard Class,AB-10255,44052
CA-2015-148873,1/10/15,5/10/15,Standard Class,EM-13960,62301
CA-2014-155264,19/10/14,22/10/14,Second Class,RP-19270,94110
CA-2016-111409,18/9/16,22/9/16,Standard Class,PO-18850,32216
US-2017-132031,23/4/17,27/4/17,Standard Class,PN-18775,37042
CA-2015-161795,21/12/15,23/12/15,Second Class,AH-10075,43229
CA-2015-111612,28/11/15,2/12/15,Standard Class,EB-14110,43229
CA-2017-156720,30/12/17,3/1/18,Standard Class,JM-15580,80538
CA-2017-155936,22/6/17,29/6/17,Standard Class,JK-15730,60653
US-2017-118087,9/9/17,13/9/17,Standard Class,SP-20620,19134
US-2016-124163,25/9/16,30/9/16,Standard Class,SC-20695,54601
CA-2016-129714,1/9/16,3/9/16,First Class,AB-10060,10009
CA-2017-117863,18/5/17,23/5/17,Standard Class,TS-21340,10024
CA-2015-101707,27/8/15,1/9/15,Standard Class,PF-19165,92105
US-2014-130358,23/6/14,26/6/14,First Class,DL-13330,28027
CA-2016-149279,24/4/16,28/4/16,Standard Class,CL-12700,80906
CA-2017-112487,26/12/17,30/12/17,Standard Class,TC-21535,43229
CA-2014-114195,1/11/14,3/11/14,First Class,EA-14035,45040
US-2016-162103,13/11/16,17/11/16,Standard Class,LB-16795,60035
CA-2016-166163,15/8/16,20/8/16,Second Class,CY-12745,94601
CA-2014-118976,28/4/14,3/5/14,Standard Class,MY-18295,21215
CA-2017-148691,3/12/17,9/12/17,Standard Class,CS-12460,10009
CA-2015-154900,25/2/15,1/3/15,Standard Class,SS-20875,1453
CA-2016-160941,21/7/16,26/7/16,Standard Class,DK-12835,95661
CA-2014-115133,26/9/14,30/9/14,Standard Class,DA-13450,43130
CA-2014-163748,14/10/14,18/10/14,Standard Class,HG-15025,76106
US-2016-133879,21/3/16,28/3/16,Standard Class,KT-16465,60623
CA-2017-134194,25/12/17,1/1/18,Standard Class,GA-14725,75081
CA-2015-105221,1/11/15,3/11/15,First Class,VM-21685,19140
CA-2015-153416,24/11/15,29/11/15,Standard Class,TS-21340,90036
CA-2017-130141,22/10/17,24/10/17,Second Class,HA-14905,80525
CA-2014-140858,28/6/14,2/7/14,Standard Class,CA-12775,19140
CA-2017-115602,18/12/17,24/12/17,Standard Class,DJ-13630,10009
CA-2016-133123,6/9/16,11/9/16,Standard Class,KB-16315,27360
CA-2016-139234,6/5/16,10/5/16,Standard Class,AF-10870,60610
CA-2017-144064,29/8/17,1/9/17,First Class,CP-12085,62301
US-2015-150630,17/9/15,21/9/15,Standard Class,TB-21520,19140
US-2017-110149,10/12/17,13/12/17,First Class,WB-21850,19143
CA-2015-137225,15/12/15,19/12/15,Standard Class,JK-15640,10009
CA-2015-153717,25/12/15,1/1/16,Standard Class,DL-13495,48227
CA-2016-109666,19/4/16,26/4/16,Standard Class,KM-16720,10035
US-2014-105767,23/5/14,27/5/14,Standard Class,AR-10510,19134
CA-2016-145499,30/5/16,31/5/16,First Class,RW-19690,28403
CA-2017-120168,25/5/17,25/5/17,Same Day,TB-21625,10009
CA-2017-119004,23/11/17,28/11/17,Standard Class,JM-15250,28205
CA-2015-163895,7/8/15,11/8/15,Standard Class,NS-18640,83704
CA-2017-125640,25/7/17,29/7/17,Standard Class,DD-13570,19134
CA-2017-127782,2/11/17,6/11/17,Standard Class,TH-21115,19140
CA-2017-146367,4/8/17,8/8/17,Standard Class,HM-14860,75007
CA-2016-137239,22/8/16,28/8/16,Standard Class,CR-12730,43229
CA-2017-102204,1/5/17,6/5/17,Standard Class,CJ-12010,32216
CA-2015-122973,18/7/15,20/7/15,Second Class,PJ-19015,10024
CA-2017-104080,8/3/17,15/3/17,Standard Class,AH-10210,92804
CA-2014-141838,26/3/14,31/3/14,Second Class,DK-12835,94122
CA-2015-149384,10/7/15,10/7/15,Same Day,EH-13945,85281
CA-2014-157623,14/3/14,18/3/14,Standard Class,DK-13225,92646
CA-2014-103331,26/8/14,1/9/14,Standard Class,KB-16315,19711
CA-2014-166863,20/6/14,24/6/14,Standard Class,SC-20020,75023
CA-2014-163419,11/11/14,14/11/14,Second Class,TZ-21580,80027
CA-2015-107741,8/3/15,10/3/15,First Class,FC-14335,81001
CA-2017-101210,25/8/17,28/8/17,Second Class,DW-13540,38301
CA-2015-104059,13/6/15,15/6/15,Second Class,FC-14245,45503
CA-2014-111157,2/3/14,6/3/14,Standard Class,NH-18610,19120
CA-2014-118192,13/1/14,18/1/14,Standard Class,MM-17920,43055
CA-2015-125710,8/10/15,13/10/15,Standard Class,BT-11680,77036
CA-2017-136448,16/9/17,18/9/17,First Class,AS-10090,19143
CA-2015-133977,6/9/15,8/9/15,Second Class,AT-10435,33319
CA-2014-106264,26/12/14,30/12/14,Standard Class,CK-12595,92024
CA-2016-159912,29/8/16,3/9/16,Standard Class,GB-14530,19120
CA-2015-120901,31/12/15,4/1/16,Standard Class,BG-11035,78745
CA-2014-146731,3/11/14,8/11/14,Standard Class,AT-10735,37211
CA-2014-161508,12/7/14,16/7/14,Standard Class,PV-18985,77573
US-2015-130512,21/8/15,25/8/15,Standard Class,SM-20320,18103
CA-2017-113530,19/5/17,21/5/17,Second Class,BC-11125,94109
US-2017-120649,20/1/17,26/1/17,Standard Class,JF-15490,6708
CA-2016-141523,19/12/16,24/12/16,Second Class,MH-17440,10035
CA-2017-118724,21/7/17,25/7/17,Second Class,AR-10825,94521
US-2014-112949,20/6/14,27/6/14,Standard Class,Co-12640,73505
CA-2014-146815,8/9/14,13/9/14,Standard Class,PP-18955,10009
US-2016-146710,27/8/16,1/9/16,Standard Class,SS-20875,75220
CA-2016-163636,5/12/16,9/12/16,Second Class,MP-18175,60623
CA-2014-112326,4/1/14,8/1/14,Standard Class,PO-19195,60540
CA-2017-134285,7/12/17,12/12/17,Standard Class,DS-13180,78207
CA-2015-127453,19/12/15,20/12/15,First Class,JK-15370,19143
CA-2015-133494,1/3/15,5/3/15,Standard Class,RP-19390,19120
US-2017-105389,23/10/17,28/10/17,Second Class,DM-13015,78207
US-2016-131611,5/11/16,9/11/16,Standard Class,EP-13915,77036
US-2017-118556,28/5/17,2/6/17,Second Class,TH-21235,60653
CA-2015-100818,31/5/15,5/6/15,Second Class,JM-15265,60653
CA-2017-102610,4/11/17,8/11/17,Standard Class,CA-12265,37421
CA-2015-100734,15/9/15,20/9/15,Standard Class,AC-10615,19143
CA-2015-156608,24/10/15,29/10/15,Standard Class,MT-18070,78207
CA-2015-142692,23/10/15,28/10/15,Standard Class,AG-10495,98105
CA-2016-111213,1/4/16,5/4/16,Standard Class,FP-14320,10009
CA-2017-154466,1/1/17,2/1/17,First Class,DP-13390,53132
CA-2017-114055,25/12/17,29/12/17,Second Class,MH-18115,35810
CA-2016-105291,30/10/16,4/11/16,Standard Class,SP-20920,93405
CA-2017-160395,31/12/16,6/1/17,Standard Class,KL-16555,89502
CA-2016-132899,7/4/16,11/4/16,Standard Class,SF-20200,10009
CA-2016-127761,10/11/16,14/11/16,Standard Class,SW-20275,10009
CA-2015-110324,1/12/15,5/12/15,Standard Class,MA-17560,49201
CA-2014-165428,1/9/14,4/9/14,First Class,JL-15130,77036
CA-2017-138611,14/11/17,17/11/17,Second Class,CK-12595,43123
CA-2015-156377,31/12/15,5/1/16,Standard Class,TB-21625,75051
US-2016-104794,16/12/16,19/12/16,First Class,KD-16495,10009
CA-2016-141082,9/12/16,13/12/16,Standard Class,FM-14380,1841
CA-2014-103100,20/12/14,23/12/14,First Class,AB-10105,46203
CA-2017-123043,24/8/17,29/8/17,Standard Class,AH-10195,10024
US-2016-158309,26/11/16,29/11/16,First Class,PA-19060,33142
CA-2015-130022,10/8/15,16/8/15,Standard Class,JK-16120,55122
US-2017-146416,20/10/17,22/10/17,Second Class,JE-16165,95695
CA-2014-128146,21/6/14,25/6/14,Standard Class,DB-13060,8701
CA-2014-119032,27/11/14,3/12/14,Standard Class,MS-17770,10035
CA-2015-119592,14/12/15,16/12/15,Second Class,MM-18280,31907
CA-2017-102554,11/6/17,15/6/17,Standard Class,KN-16705,36830
CA-2017-162033,26/3/17,2/4/17,Standard Class,EM-14200,23464
US-2017-133361,14/5/17,17/5/17,First Class,AJ-10780,21215
US-2016-139262,21/2/16,25/2/16,Standard Class,LC-16960,33614
CA-2015-121720,11/6/15,12/6/15,First Class,JE-15610,33801
CA-2015-168809,25/8/15,25/8/15,Same Day,MC-18100,77041
CA-2016-125920,21/5/16,28/5/16,Standard Class,SH-19975,60610
CA-2017-106831,1/6/17,3/6/17,First Class,FH-14350,43017
CA-2014-137092,20/10/14,22/10/14,Second Class,LS-16975,60653
US-2014-150434,19/7/14,24/7/14,Standard Class,CA-12310,6010
CA-2017-106047,12/7/17,18/7/17,Standard Class,CS-11860,45014
CA-2014-126193,7/9/14,14/9/14,Standard Class,SS-20410,60543
CA-2017-162880,25/12/17,29/12/17,Standard Class,GD-14590,98208
US-2015-141453,30/11/15,3/12/15,Second Class,DB-13270,78745
CA-2017-126354,3/2/17,8/2/17,Standard Class,SC-20380,33024
CA-2017-156237,14/9/17,15/9/17,First Class,PS-18760,19140
CA-2017-147452,30/9/17,3/10/17,First Class,CS-11845,98103
CA-2017-125472,30/5/17,31/5/17,First Class,BD-11725,70506
CA-2014-121006,10/11/14,16/11/14,Standard Class,SC-20020,48640
CA-2016-169971,4/9/16,9/9/16,Standard Class,IL-15100,77041
CA-2014-123253,22/8/14,25/8/14,Second Class,DE-13255,44107
CA-2017-145772,3/6/17,7/6/17,Standard Class,SS-20140,90036
CA-2014-100328,28/1/14,3/2/14,Standard Class,JC-15340,10024
US-2015-118766,15/10/15,22/10/15,Standard Class,LS-16975,75217
CA-2016-140501,23/6/16,28/6/16,Standard Class,IM-15070,10009
CA-2016-130029,3/7/16,6/7/16,First Class,GT-14755,90049
US-2016-128195,4/8/16,5/8/16,First Class,RA-19285,61604
CA-2014-138317,21/6/14,25/6/14,Standard Class,NW-18400,19120
CA-2017-118773,9/2/17,14/2/17,Standard Class,TP-21415,77070
CA-2016-138933,24/4/16,27/4/16,First Class,JL-15130,92503
CA-2014-156160,22/9/14,29/9/14,Standard Class,AS-10090,10035
CA-2014-133963,18/5/14,22/5/14,Second Class,GA-14515,75220
CA-2016-145583,13/10/16,19/10/16,Standard Class,LC-16885,95661
CA-2014-168592,8/9/14,14/9/14,Standard Class,DP-13390,94110
CA-2014-130428,31/3/14,31/3/14,Same Day,TG-21640,33614
CA-2016-157749,4/6/16,9/6/16,Second Class,KL-16645,60610
CA-2017-117422,21/10/17,25/10/17,Standard Class,FC-14245,44107
CA-2016-106656,23/9/16,26/9/16,First Class,DV-13045,92037
CA-2017-100622,3/11/17,7/11/17,Standard Class,DK-13090,32839
US-2016-150357,10/10/16,14/10/16,Standard Class,EB-13975,27405
CA-2016-110254,4/8/16,8/8/16,Standard Class,ML-17755,23434
CA-2014-156594,20/12/14,23/12/14,Second Class,MC-17845,90008
CA-2017-158120,17/11/17,21/11/17,Standard Class,KH-16330,97123
CA-2016-159023,3/11/16,5/11/16,First Class,NW-18400,97206
CA-2016-122392,22/7/16,27/7/16,Standard Class,CJ-12010,18103
CA-2015-121188,28/8/15,4/9/15,Standard Class,CB-12025,90049
CA-2017-115931,22/12/17,26/12/17,Standard Class,JM-15655,88220
CA-2016-119018,4/11/16,8/11/16,Standard Class,CW-11905,90004
CA-2016-149461,13/11/16,19/11/16,Standard Class,AS-10135,98002
CA-2016-135776,23/12/16,30/12/16,Standard Class,EH-13765,98103
CA-2014-116407,15/11/14,21/11/14,Standard Class,JF-15190,37604
CA-2014-122931,29/9/14,3/10/14,Standard Class,SM-20950,19134
CA-2015-104346,11/12/15,16/12/15,Standard Class,IM-15070,80906
CA-2014-124737,23/8/14,27/8/14,Standard Class,AP-10915,80219
CA-2017-128426,7/10/17,11/10/17,Standard Class,JK-15730,77036
CA-2017-135167,15/6/17,20/6/17,Standard Class,SC-20800,90036
CA-2014-159814,24/6/14,28/6/14,Standard Class,LP-17080,85705
US-2017-104661,15/1/17,18/1/17,First Class,TB-21250,78745
CA-2015-144267,21/8/15,23/8/15,First Class,NZ-18565,94110
CA-2017-122798,28/12/17,1/1/18,Standard Class,SV-20935,87105
CA-2017-159135,4/11/17,8/11/17,Standard Class,KM-16375,72762
CA-2015-144099,29/11/15,30/11/15,Same Day,PO-19195,94122
US-2016-148334,22/8/16,26/8/16,Standard Class,DD-13570,77041
CA-2014-141110,26/11/14,1/12/14,Standard Class,LS-17200,93727
CA-2016-118934,9/8/16,14/8/16,Standard Class,GH-14410,37075
CA-2016-128531,24/11/16,26/11/16,Second Class,NS-18505,75217
US-2016-131114,9/12/16,13/12/16,Second Class,RW-19630,60610
CA-2015-142755,4/9/15,8/9/15,Standard Class,CS-12355,30076
CA-2016-151372,5/9/16,6/9/16,First Class,JH-15985,90278
CA-2017-100111,20/9/17,26/9/17,Standard Class,SV-20365,10035
CA-2017-167017,23/11/17,25/11/17,First Class,DC-12850,48066
CA-2017-167395,2/12/17,4/12/17,First Class,KM-16720,1852
CA-2016-134348,12/11/16,19/11/16,Standard Class,MS-17710,85204
CA-2017-101483,29/7/17,1/8/17,Second Class,AG-10675,28540
CA-2014-152849,5/7/14,12/7/14,Standard Class,DW-13195,37918
CA-2017-109757,4/9/17,9/9/17,Second Class,MD-17350,44312
CA-2015-105312,6/11/15,9/11/15,First Class,MT-17815,85254
CA-2017-118213,5/11/17,7/11/17,First Class,AB-10060,46142
