City,State,Postal Code,Region,Country,Customer ID
Seattle,Washington,98105,West,United States,NK-18490
Seattle,Washington,98115,West,United States,DB-13060
Edmond,Oklahoma,73034,Central,United States,NP-18670
Los Angeles,California,90045,West,United States,TT-21070
Philadelphia,Pennsylvania,19134,East,United States,EM-13960
Carlsbad,New Mexico,88220,West,United States,RD-19900
Seattle,Washington,98115,West,United States,MJ-17740
San Antonio,Texas,78207,Central,United States,BM-11140
Los Angeles,California,90004,West,United States,CS-12130
Chicago,Illinois,60623,Central,United States,JB-15400
Houston,Texas,77036,Central,United States,SJ-20500
Newark,Ohio,43055,East,United States,JE-15745
New York City,New York,10009,East,United States,JK-15640
Decatur,Illinois,62521,Central,United States,DK-13150
Monroe,Louisiana,71203,South,United States,RM-19675
Fairfield,Connecticut,6824,East,United States,SK-19990
Los Angeles,California,90032,West,United States,FM-14290
Grand Prairie,Texas,75051,Central,United States,AM-10360
New York City,New York,10035,East,United States,MP-17470
Redlands,California,92374,West,United States,MZ-17515
Hamilton,Ohio,45011,East,United States,CB-12025
Westfield,New Jersey,7090,East,United States,VM-21685
Philadelphia,Pennsylvania,19120,East,United States,FH-14365
Akron,Ohio,44312,East,United States,MB-17305
Denver,Colorado,80219,West,United States,BS-11755
Dallas,Texas,75220,Central,United States,LC-17140
Franklin,Tennessee,37064,South,United States,HK-14890
Whittier,California,90604,West,United States,LE-16810
Saginaw,Michigan,48601,Central,United States,JH-15985
Dallas,Texas,75220,Central,United States,MS-17980
Medina,Ohio,44256,East,United States,VW-21775
Los Angeles,California,90032,West,United States,JH-15910
Dublin,Ohio,43017,East,United States,JB-15925
Detroit,Michigan,48227,Central,United States,DS-13180
Columbia,Tennessee,38401,South,United States,VD-21670
Charlotte,North Carolina,28205,South,United States,EA-14035
Tampa,Florida,33614,South,United States,CS-12400
Santa Clara,California,95051,West,United States,DB-13120
Chicago,Illinois,60610,Central,United States,KL-16645
Lakeville,Minnesota,55044,Central,United States,DW-13480
San Francisco,California,94109,West,United States,LH-17155
San Diego,California,92037,West,United States,KC-16540
New York City,New York,10024,East,United States,DL-13315
Chicago,Illinois,60623,Central,United States,DR-12880
New York City,New York,10009,East,United States,CC-12670
Pasadena,Texas,77506,Central,United States,Dl-13600
Houston,Texas,77036,Central,United States,SB-20290
Chicago,Illinois,60610,Central,United States,RC-19825
Brentwood,California,94513,West,United States,AH-10210
Chapel Hill,North Carolina,27514,South,United States,CB-12535
Morristown,New Jersey,7960,East,United States,PG-18895
Cincinnati,Ohio,45231,East,United States,CA-12310
San Francisco,California,94110,West,United States,KH-16690
San Francisco,California,94109,West,United States,HA-14920
Inglewood,California,90301,West,United States,BB-10990
Philadelphia,Pennsylvania,19140,East,United States,AG-10495
Houston,Texas,77070,Central,United States,SC-20725
Los Angeles,California,90004,West,United States,JO-15280
Portland,Oregon,97206,West,United States,TB-21520
Tamarac,Florida,33319,South,United States,AH-10195
Columbus,Ohio,43229,East,United States,NZ-18565
Colorado Springs,Colorado,80906,West,United States,KL-16555
Belleville,New Jersey,7109,East,United States,JD-15895
Chicago,Illinois,60623,Central,United States,JH-15910
New York City,New York,10024,East,United States,AS-10225
Taylor,Michigan,48180,Central,United States,KB-16600
Lakewood,New Jersey,8701,East,United States,CR-12625
Arlington,Virginia,22204,South,United States,SH-20395
Arvada,Colorado,80004,West,United States,BP-11185
Hackensack,New Jersey,7601,East,United States,TS-21205
Saint Petersburg,Florida,33710,South,United States,AG-10525
Philadelphia,Pennsylvania,19143,East,United States,SP-20860
New York City,New York,10024,East,United States,NM-18445
Long Beach,California,90805,West,United States,FA-14230
Hesperia,California,92345,West,United States,GK-14620
Murfreesboro,Tennessee,37130,South,United States,DJ-13510
Philadelphia,Pennsylvania,19143,East,United States,PO-18850
Philadelphia,Pennsylvania,19134,East,United States,JL-15850
Los Angeles,California,90045,West,United States,DB-13615
San Francisco,California,94122,West,United States,AC-10420
Layton,Utah,84041,West,United States,KL-16645
Austin,Texas,78745,Central,United States,CS-12130
San Francisco,California,94122,West,United States,CC-12550
Lowell,Massachusetts,1852,East,United States,TD-20995
New York City,New York,10009,East,United States,AB-10060
New York City,New York,10035,East,United States,JL-15505
Charlotte,North Carolina,28205,South,United States,HK-14890
Columbus,Georgia,31907,South,United States,VB-21745
New York City,New York,10009,East,United States,KW-16435
San Francisco,California,94109,West,United States,JD-16060
Manchester,Connecticut,6040,East,United States,MK-17905
Harlingen,Texas,78550,Central,United States,GT-14755
Tucson,Arizona,85705,West,United States,AG-10900
Quincy,Illinois,62301,Central,United States,MM-18280
Franklin,Massachusetts,2038,East,United States,AR-10405
Houston,Texas,77095,Central,United States,RA-19915
San Francisco,California,94109,West,United States,AS-10285
Taylor,Michigan,48180,Central,United States,LA-16780
Pembroke Pines,Florida,33024,South,United States,DO-13435
Philadelphia,Pennsylvania,19140,East,United States,DK-13225
Cincinnati,Ohio,45231,East,United States,NG-18430
New York City,New York,10009,East,United States,MV-18190
Des Moines,Washington,98198,West,United States,JG-15115
Peoria,Illinois,61604,Central,United States,BP-11095
Las Vegas,Nevada,89115,West,United States,VP-21730
Warwick,Rhode Island,2886,East,United States,SS-20140
Jackson,Michigan,49201,Central,United States,HP-14815
Houston,Texas,77036,Central,United States,AG-10675
Miami,Florida,33180,South,United States,LF-17185
Wilmington,North Carolina,28403,South,United States,SP-20650
New York City,New York,10024,East,United States,RF-19840
San Francisco,California,94110,West,United States,KH-16510
Seattle,Washington,98105,West,United States,KC-16675
Huntington Beach,California,92646,West,United States,CJ-12010
Los Angeles,California,90004,West,United States,PB-19150
Richmond,Kentucky,40475,South,United States,VB-21745
Los Angeles,California,90045,West,United States,SP-20860
Louisville,Colorado,80027,West,United States,JE-15745
Lawrence,Massachusetts,1841,East,United States,MP-17965
Jackson,Mississippi,39212,South,United States,NF-18385
Canton,Michigan,48187,Central,United States,JM-15265
New Rochelle,New York,10801,East,United States,SD-20485
San Antonio,Texas,78207,Central,United States,KH-16630
Gastonia,North Carolina,28052,South,United States,RB-19795
Lowell,Massachusetts,1852,East,United States,DB-13060
Jacksonville,Florida,32216,South,United States,MK-18160
Chicago,Illinois,60623,Central,United States,PO-19180
Houston,Texas,77070,Central,United States,BB-11545
New York City,New York,10024,East,United States,CV-12805
Detroit,Michigan,48227,Central,United States,PK-19075
Columbus,Indiana,47201,Central,United States,TB-21595
Auburn,New York,13021,East,United States,RB-19360
Akron,Ohio,44312,East,United States,EB-13705
Norman,Oklahoma,73071,Central,United States,KH-16630
Concord,California,94521,West,United States,SC-20095
Decatur,Illinois,62521,Central,United States,NF-18385
Seattle,Washington,98115,West,United States,JH-15985
Phoenix,Arizona,85023,West,United States,TN-21040
Park Ridge,Illinois,60068,Central,United States,JS-15940
Amarillo,Texas,79109,Central,United States,DS-13180
Chicago,Illinois,60610,Central,United States,CC-12670
Lindenhurst,New York,11757,East,United States,MH-17785
San Francisco,California,94110,West,United States,JP-15520
Los Angeles,California,90008,West,United States,KH-16690
Troy,New York,12180,East,United States,JE-15475
New York City,New York,10024,East,United States,JG-15805
San Diego,California,92024,West,United States,XP-21865
New York City,New York,10024,East,United States,EM-14065
Los Angeles,California,90045,West,United States,MT-18070
Chicago,Illinois,60610,Central,United States,SA-20830
Huntsville,Texas,77340,Central,United States,CW-11905
Rochester,New York,14609,East,United States,AJ-10960
Seattle,Washington,98115,West,United States,SS-20590
Memphis,Tennessee,38109,South,United States,RO-19780
Fayetteville,Arkansas,72701,South,United States,MD-17350
Costa Mesa,California,92627,West,United States,SC-20095
Parker,Colorado,80134,West,United States,MY-17380
New York City,New York,10024,East,United States,EB-13705
Atlanta,Georgia,30318,South,United States,CM-12385
Gladstone,Missouri,64118,Central,United States,LS-17245
Newark,Ohio,43055,East,United States,LF-17185
Los Angeles,California,90049,West,United States,BN-11515
Great Falls,Montana,59405,West,United States,AD-10180
Houston,Texas,77041,Central,United States,DB-13210
Detroit,Michigan,48234,Central,United States,MC-17605
Los Angeles,California,90032,West,United States,LH-17155
Lawrence,Massachusetts,1841,East,United States,BD-11605
Lakeland,Florida,33801,South,United States,PH-18790
Philadelphia,Pennsylvania,19134,East,United States,MG-18145
Los Angeles,California,90036,West,United States,KB-16240
Los Angeles,California,90032,West,United States,JC-15340
Montgomery,Alabama,36116,South,United States,RL-19615
Mesa,Arizona,85204,West,United States,AA-10375
Chicago,Illinois,60653,Central,United States,EP-13915
New York City,New York,10009,East,United States,MP-17470
Henderson,Kentucky,42420,South,United States,DK-12985
Green Bay,Wisconsin,54302,Central,United States,BD-11500
Tucson,Arizona,85705,West,United States,ES-14080
Springfield,Ohio,45503,East,United States,LM-17065
Fort Worth,Texas,76106,Central,United States,PG-18895
New York City,New York,10035,East,United States,AS-10135
Chicago,Illinois,60653,Central,United States,DK-13225
San Francisco,California,94110,West,United States,BD-11320
Jacksonville,Florida,32216,South,United States,RC-19960
Houston,Texas,77070,Central,United States,GT-14710
Anaheim,California,92804,West,United States,DK-13225
Wilmington,North Carolina,28403,South,United States,AJ-10945
Los Angeles,California,90045,West,United States,OT-18730
San Francisco,California,94110,West,United States,LP-17080
Tampa,Florida,33614,South,United States,CA-12775
Seattle,Washington,98105,West,United States,JF-15490
Los Angeles,California,90008,West,United States,FP-14320
Seattle,Washington,98105,West,United States,EB-13840
New York City,New York,10024,East,United States,JF-15415
Marysville,Washington,98270,West,United States,SF-20200
Long Beach,California,90805,West,United States,TG-21640
Chicago,Illinois,60610,Central,United States,CS-11950
Los Angeles,California,90004,West,United States,CC-12145
Denver,Colorado,80219,West,United States,DV-13465
Richmond,Kentucky,40475,South,United States,BD-11725
Salem,Oregon,97301,West,United States,ZC-21910
Laredo,Texas,78041,Central,United States,MS-17830
San Diego,California,92024,West,United States,LR-16915
Philadelphia,Pennsylvania,19134,East,United States,TP-21130
Philadelphia,Pennsylvania,19120,East,United States,CK-12205
Tampa,Florida,33614,South,United States,AS-10240
Philadelphia,Pennsylvania,19134,East,United States,AR-10510
Dallas,Texas,75217,Central,United States,NB-18655
Philadelphia,Pennsylvania,19143,East,United States,GD-14590
Grove City,Ohio,43123,East,United States,CK-12595
New York City,New York,10011,East,United States,NG-18355
Chicago,Illinois,60610,Central,United States,CA-12265
Dearborn,Michigan,48126,Central,United States,SF-20965
New York City,New York,10009,East,United States,MO-17800
Seattle,Washington,98115,West,United States,AT-10735
San Francisco,California,94122,West,United States,LC-17140
Aurora,Colorado,80013,West,United States,FM-14380
Miami,Florida,33180,South,United States,BD-11605
Warner Robins,Georgia,31088,South,United States,DJ-13420
Aurora,Colorado,80013,West,United States,ME-17725
Vallejo,California,94591,West,United States,RB-19465
Minneapolis,Minnesota,55407,Central,United States,JD-16150
Mission Viejo,California,92691,West,United States,JL-15835
Rochester Hills,Michigan,48307,Central,United States,SC-20305
Plainfield,New Jersey,7060,East,United States,TW-21025
Columbus,Indiana,47201,Central,United States,CC-12430
Sierra Vista,Arizona,85635,West,United States,BB-10990
Vancouver,Washington,98661,West,United States,AR-10825
New York City,New York,10024,East,United States,SR-20740
New York City,New York,10035,East,United States,AR-10405
Columbus,Ohio,43229,East,United States,CR-12730
Aurora,Illinois,60505,Central,United States,EH-14125
Arlington,Texas,76017,Central,United States,CB-12025
New York City,New York,10011,East,United States,SP-20545
Louisville,Kentucky,40214,South,United States,RC-19825
Dallas,Texas,75081,Central,United States,TH-21235
Cleveland,Ohio,44105,East,United States,RP-19390
Chicago,Illinois,60653,Central,United States,MO-17800
Quincy,Illinois,62301,Central,United States,TD-20995
Columbus,Indiana,47201,Central,United States,RB-19570
Tyler,Texas,75701,Central,United States,CD-11980
New York City,New York,10024,East,United States,DJ-13630
Burlington,North Carolina,27217,South,United States,GT-14635
Jackson,Mississippi,39212,South,United States,MC-17845
New York City,New York,10035,East,United States,RA-19285
Waynesboro,Virginia,22980,South,United States,NP-18325
Los Angeles,California,90036,West,United States,AB-10165
Chester,Pennsylvania,19013,East,United States,JO-15550
Cleveland,Ohio,44105,East,United States,Dl-13600
Seattle,Washington,98103,West,United States,AS-10285
Long Beach,California,90805,West,United States,JK-15370
Cary,North Carolina,27511,South,United States,BN-11470
New York City,New York,10035,East,United States,DP-13165
New York City,New York,10035,East,United States,TH-21550
Palm Coast,Florida,32137,South,United States,AP-10915
Mount Vernon,New York,10550,East,United States,RS-19765
Seattle,Washington,98105,West,United States,Dl-13600
Dover,Delaware,19901,East,United States,SV-20365
Newark,Ohio,43055,East,United States,KC-16540
Orem,Utah,84057,West,United States,CK-12325
Los Angeles,California,90045,West,United States,RD-19810
Detroit,Michigan,48205,Central,United States,MP-17965
Philadelphia,Pennsylvania,19140,East,United States,MR-17545
Hialeah,Florida,33012,South,United States,SC-20695
Austin,Texas,78745,Central,United States,JF-15355
Oceanside,New York,11572,East,United States,EG-13900
Seattle,Washington,98115,West,United States,DS-13030
San Francisco,California,94110,West,United States,GZ-14470
Naperville,Illinois,60540,Central,United States,PO-19195
Dallas,Texas,75220,Central,United States,SS-20875
San Diego,California,92105,West,United States,MH-17785
Evanston,Illinois,60201,Central,United States,PB-19105
Trenton,Michigan,48183,Central,United States,RF-19735
San Francisco,California,94110,West,United States,YC-21895
Los Angeles,California,90036,West,United States,MS-17830
Jacksonville,Florida,32216,South,United States,NB-18655
Cottage Grove,Minnesota,55016,Central,United States,DC-13285
New York City,New York,10009,East,United States,CP-12340
Green Bay,Wisconsin,54302,Central,United States,BF-11020
Los Angeles,California,90004,West,United States,AR-10510
Atlanta,Georgia,30318,South,United States,JC-16105
Columbus,Ohio,43229,East,United States,LH-17020
Bossier City,Louisiana,71111,South,United States,CS-12250
Saint Petersburg,Florida,33710,South,United States,AJ-10795
Arlington,Virginia,22204,South,United States,LE-16810
Des Moines,Iowa,50315,Central,United States,BV-11245
Cincinnati,Ohio,45231,East,United States,DL-12865
San Francisco,California,94110,West,United States,NZ-18565
Columbus,Ohio,43229,East,United States,BM-11785
Columbia,South Carolina,29203,South,United States,EA-14035
Lancaster,California,93534,West,United States,CL-12565
Lancaster,California,93534,West,United States,LT-17110
Richmond,Virginia,23223,South,United States,SA-20830
Asheville,North Carolina,28806,South,United States,JK-15730
San Francisco,California,94110,West,United States,ES-14020
Rochester,Minnesota,55901,Central,United States,RH-19495
Rochester,New York,14609,East,United States,DB-13120
Lake Elsinore,California,92530,West,United States,CD-11920
San Diego,California,92105,West,United States,HW-14935
New York City,New York,10024,East,United States,HW-14935
Monroe,Louisiana,71203,South,United States,MC-18130
San Francisco,California,94122,West,United States,GM-14440
Denver,Colorado,80219,West,United States,RA-19915
Omaha,Nebraska,68104,Central,United States,AA-10375
Edmonds,Washington,98026,West,United States,ZC-21910
Santa Ana,California,92704,West,United States,PJ-19015
Milwaukee,Wisconsin,53209,Central,United States,BW-11110
Philadelphia,Pennsylvania,19140,East,United States,DB-13210
Philadelphia,Pennsylvania,19140,East,United States,CA-12775
Belleville,New Jersey,7109,East,United States,TR-21325
San Francisco,California,94110,West,United States,PG-18820
Lakeville,Minnesota,55044,Central,United States,GT-14710
Florence,Kentucky,41042,South,United States,JE-15745
Tampa,Florida,33614,South,United States,JB-15400
Tyler,Texas,75701,Central,United States,LH-17020
Columbia,Tennessee,38401,South,United States,JL-15175
Fort Worth,Texas,76106,Central,United States,EB-13705
New York City,New York,10035,East,United States,BM-11650
Los Angeles,California,90036,West,United States,EM-14095
Louisville,Kentucky,40214,South,United States,AF-10885
Lorain,Ohio,44052,East,United States,GA-14725
Linden,New Jersey,7036,East,United States,CK-12760
Salinas,California,93905,West,United States,DP-13105
Jackson,Mississippi,39212,South,United States,VD-21670
New York City,New York,10035,East,United States,GT-14710
New York City,New York,10035,East,United States,BK-11260
New Brunswick,New Jersey,8901,East,United States,SJ-20125
San Francisco,California,94122,West,United States,CM-12445
Jacksonville,Florida,32216,South,United States,AJ-10795
Springfield,Virginia,22153,South,United States,AJ-10780
Philadelphia,Pennsylvania,19140,East,United States,LS-16945
Lancaster,Pennsylvania,17602,East,United States,GP-14740
Philadelphia,Pennsylvania,19143,East,United States,PK-18910
Concord,New Hampshire,3301,East,United States,TB-21520
New York City,New York,10009,East,United States,SM-20005
Charlotte,North Carolina,28205,South,United States,GA-14725
Concord,New Hampshire,3301,East,United States,CC-12430
Philadelphia,Pennsylvania,19120,East,United States,AG-10765
New York City,New York,10024,East,United States,HP-14815
Springfield,Virginia,22153,South,United States,DK-13090
San Francisco,California,94109,West,United States,GZ-14470
Detroit,Michigan,48227,Central,United States,PM-19135
Rochester,New York,14609,East,United States,LL-16840
Los Angeles,California,90045,West,United States,JS-15595
San Diego,California,92105,West,United States,OT-18730
Columbia,Maryland,21044,East,United States,EL-13735
San Francisco,California,94122,West,United States,CK-12760
New Rochelle,New York,10801,East,United States,JE-15475
Detroit,Michigan,48227,Central,United States,TH-21550
San Francisco,California,94122,West,United States,PC-18745
Houston,Texas,77095,Central,United States,HL-15040
Detroit,Michigan,48227,Central,United States,MS-17365
Auburn,New York,13021,East,United States,GB-14530
Springfield,Ohio,45503,East,United States,JR-16210
Garland,Texas,75043,Central,United States,TD-20995
Chicago,Illinois,60653,Central,United States,DB-13060
Los Angeles,California,90032,West,United States,LC-17140
New York City,New York,10009,East,United States,PO-18865
Jackson,Michigan,49201,Central,United States,BE-11335
Norwich,Connecticut,6360,East,United States,SC-20050
Milwaukee,Wisconsin,53209,Central,United States,BM-11650
San Antonio,Texas,78207,Central,United States,KL-16555
Dallas,Texas,75220,Central,United States,RW-19630
Alexandria,Virginia,22304,South,United States,RC-19825
New York City,New York,10009,East,United States,SE-20110
New York City,New York,10011,East,United States,AH-10075
Philadelphia,Pennsylvania,19143,East,United States,JM-15535
Springfield,Virginia,22153,South,United States,JJ-15760
Toledo,Ohio,43615,East,United States,AB-10165
Philadelphia,Pennsylvania,19140,East,United States,RK-19300
Philadelphia,Pennsylvania,19120,East,United States,CG-12040
Farmington,New Mexico,87401,West,United States,RA-19885
Riverside,California,92503,West,United States,RP-19270
San Francisco,California,94110,West,United States,KC-16255
Torrance,California,90503,West,United States,RW-19630
Seattle,Washington,98105,West,United States,JL-15850
Mesa,Arizona,85204,West,United States,CA-12775
Philadelphia,Pennsylvania,19120,East,United States,RB-19795
Philadelphia,Pennsylvania,19143,East,United States,KH-16360
Round Rock,Texas,78664,Central,United States,GH-14665
Jackson,Mississippi,39212,South,United States,SW-20275
Phoenix,Arizona,85023,West,United States,JA-15970
Oceanside,California,92054,West,United States,DL-12925
San Francisco,California,94110,West,United States,LW-16990
Fayetteville,Arkansas,72701,South,United States,TB-21190
San Francisco,California,94110,West,United States,CV-12805
Boca Raton,Florida,33433,South,United States,MS-17365
New York City,New York,10011,East,United States,BS-11800
Philadelphia,Pennsylvania,19134,East,United States,DL-13315
New York City,New York,10011,East,United States,PO-19195
Portland,Oregon,97206,West,United States,TD-20995
Detroit,Michigan,48205,Central,United States,BW-11110
Wilmington,North Carolina,28403,South,United States,RW-19690
Columbus,Indiana,47201,Central,United States,KB-16600
New York City,New York,10035,East,United States,EB-13870
Louisville,Colorado,80027,West,United States,TZ-21580
Pasadena,Texas,77506,Central,United States,AS-10630
Houston,Texas,77041,Central,United States,TS-21340
Auburn,New York,13021,East,United States,JG-15805
Jacksonville,Florida,32216,South,United States,SL-20155
New York City,New York,10024,East,United States,TS-21610
San Jose,California,95123,West,United States,RF-19735
Virginia Beach,Virginia,23464,South,United States,MW-18235
Henderson,Kentucky,42420,South,United States,RD-19585
Vancouver,Washington,98661,West,United States,FM-14290
New York City,New York,10024,East,United States,RH-19495
Murrieta,California,92563,West,United States,RA-19945
Jacksonville,North Carolina,28540,South,United States,JK-15730
Scottsdale,Arizona,85254,West,United States,MT-17815
Burlington,Iowa,52601,Central,United States,PO-18850
Chicago,Illinois,60653,Central,United States,AT-10735
San Diego,California,92037,West,United States,VG-21790
Olympia,Washington,98502,West,United States,PF-19165
Seattle,Washington,98103,West,United States,JS-15880
Los Angeles,California,90036,West,United States,MO-17800
New York City,New York,10011,East,United States,KM-16225
Washington,District of Columbia,20016,East,United States,GT-14710
Philadelphia,Pennsylvania,19134,East,United States,PB-19150
Los Angeles,California,90045,West,United States,HR-14770
Springfield,Ohio,45503,East,United States,DE-13255
Hackensack,New Jersey,7601,East,United States,LA-16780
Cincinnati,Ohio,45231,East,United States,AG-10390
Jefferson City,Missouri,65109,Central,United States,EL-13735
Los Angeles,California,90004,West,United States,JJ-15445
Burlington,North Carolina,27217,South,United States,JH-15430
Saint Peters,Missouri,63376,Central,United States,RD-19660
New York City,New York,10035,East,United States,MO-17500
Chicago,Illinois,60610,Central,United States,NS-18640
Rockford,Illinois,61107,Central,United States,SN-20710
Miami,Florida,33142,South,United States,ZC-21910
San Francisco,California,94109,West,United States,LC-16885
Philadelphia,Pennsylvania,19134,East,United States,DG-13300
New York City,New York,10009,East,United States,NF-18595
San Diego,California,92037,West,United States,BP-11185
Philadelphia,Pennsylvania,19143,East,United States,MG-17650
Houston,Texas,77095,Central,United States,JD-16060
Toledo,Ohio,43615,East,United States,TS-21160
San Francisco,California,94122,West,United States,BD-11620
Brownsville,Texas,78521,Central,United States,CM-12160
Philadelphia,Pennsylvania,19143,East,United States,RB-19795
Los Angeles,California,90008,West,United States,SN-20560
Denver,Colorado,80219,West,United States,EH-14005
New York City,New York,10035,East,United States,FO-14305
Mesa,Arizona,85204,West,United States,MS-17710
Columbus,Indiana,47201,Central,United States,CC-12100
Seattle,Washington,98105,West,United States,DW-13540
Detroit,Michigan,48227,Central,United States,BT-11395
Yonkers,New York,10701,East,United States,KD-16270
Des Moines,Iowa,50315,Central,United States,LC-16870
Oakland,California,94601,West,United States,CY-12745
Monroe,North Carolina,28110,South,United States,LW-16990
San Diego,California,92105,West,United States,NP-18325
Clinton,Maryland,20735,East,United States,BT-11485
Charlotte,North Carolina,28205,South,United States,PS-19045
Los Angeles,California,90049,West,United States,NS-18640
San Francisco,California,94122,West,United States,PV-18985
Houston,Texas,77041,Central,United States,RP-19390
Riverside,California,92503,West,United States,NM-18520
Houston,Texas,77041,Central,United States,EH-13945
Encinitas,California,92024,West,United States,RA-19915
San Francisco,California,94110,West,United States,DL-13495
Roswell,Georgia,30076,South,United States,CS-12355
Jonesboro,Arkansas,72401,South,United States,HL-15040
Richmond,Indiana,47374,Central,United States,PA-19060
Springfield,Virginia,22153,South,United States,BD-11605
Antioch,California,94509,West,United States,GG-14650
Philadelphia,Pennsylvania,19134,East,United States,JS-15940
Homestead,Florida,33030,South,United States,LR-16915
La Porte,Indiana,46350,Central,United States,FH-14275
Los Angeles,California,90045,West,United States,AP-10915
Lansing,Michigan,48911,Central,United States,NC-18340
Cuyahoga Falls,Ohio,44221,East,United States,CB-12535
Reno,Nevada,89502,West,United States,KL-16555
Harrisonburg,Virginia,22801,South,United States,PS-19045
Los Angeles,California,90004,West,United States,GB-14530
Minneapolis,Minnesota,55407,Central,United States,AA-10315
Escondido,California,92025,West,United States,LT-16765
New York City,New York,10035,East,United States,AP-10720
Jackson,Michigan,49201,Central,United States,PM-18940
Seattle,Washington,98115,West,United States,KC-16540
New York City,New York,10035,East,United States,DL-13315
Royal Oak,Michigan,48073,Central,United States,SW-20275
Los Angeles,California,90008,West,United States,AA-10375
Bloomington,Illinois,61701,Central,United States,LT-17110
New York City,New York,10035,East,United States,DP-13105
Concord,New Hampshire,3301,East,United States,AB-10060
Los Angeles,California,90004,West,United States,AT-10435
Rockville,Maryland,20852,East,United States,JE-15745
Houston,Texas,77070,Central,United States,CA-12055
Lakewood,New Jersey,8701,East,United States,DB-13060
Jacksonville,North Carolina,28540,South,United States,RB-19570
Seattle,Washington,98103,West,United States,HR-14830
Los Angeles,California,90036,West,United States,BT-11530
Coral Springs,Florida,33065,South,United States,NG-18355
Houston,Texas,77041,Central,United States,ZC-21910
Denver,Colorado,80219,West,United States,LS-16945
Charlotte,North Carolina,28205,South,United States,LH-16750
New York City,New York,10009,East,United States,SW-20755
Philadelphia,Pennsylvania,19134,East,United States,SP-20620
Los Angeles,California,90036,West,United States,BF-11170
New York City,New York,10024,East,United States,BM-11140
Los Angeles,California,90045,West,United States,ZC-21910
Buffalo,New York,14215,East,United States,KT-16480
